"","province_code","house_cat","year","month","n","median","mean","stand_dev","variance","IQR","q25","q75","median_scaled","date"
"1807","sulawesi-selatan","A",2016,4,1912,8854166.66666667,8849888.24346972,2663139.07826585,7092309750186.67,3625000,7e+06,10625000,112.07805907173,Apr 2016
"1808","sulawesi-selatan","A",2016,5,2200,8920000,8773850.72087492,2615466.22855616,6840663592717.79,3625000,7e+06,10625000,112.911392405063,May 2016
"1809","sulawesi-selatan","A",2016,6,1296,8920000,8763881.77407353,2969676.61404104,8818979191982.26,4497222.22222222,6333333.33333333,10830555.5555556,112.911392405063,Jun 2016
"1810","sulawesi-selatan","A",2016,7,1241,8783783.78378378,8730270.39853793,3187662.34785211,10161191243914,4666666.66666667,6333333.33333333,1.1e+07,111.187136503592,Jul 2016
"1811","sulawesi-selatan","A",2016,8,2243,8194444.44444444,8675887.2954358,3222780.25428898,10386312567434.9,4775000,6300000,11075000,103.727144866385,Aug 2016
"1812","sulawesi-selatan","A",2016,9,1709,7755555.55555556,8106705.55650147,2905590.67994462,8442457199381.05,3700000,6300000,1e+07,98.1715893108298,Sep 2016
"1813","sulawesi-selatan","A",2016,10,1761,8750000,8578823.44541059,2932461.07196126,8599327938568.18,4450000,6300000,10750000,110.759493670886,Oct 2016
"1814","sulawesi-selatan","A",2016,11,1779,8611111.11111111,8833668.88783523,3196095.9158667,10215029103419.8,4720000,6300000,11020000,109.001406469761,Nov 2016
"1815","sulawesi-selatan","A",2016,12,954,7888888.88888889,8446888.21162495,3120839.10768634,9739636736064.49,4590000,6300000,10890000,99.85935302391,Dec 2016
"1816","sulawesi-selatan","A",2017,1,1169,8777777.77777778,8888094.43807799,3150440.63460664,9925276192180.72,4483333.33333333,6600000,11083333.3333333,111.111111111111,Jan 2017
"1817","sulawesi-selatan","A",2017,2,780,8888888.88888889,9426466.07023258,3393059.80563247,11512854844598.7,5367403.62811791,6888888.88888889,12256292.5170068,112.517580872011,Feb 2017
"1818","sulawesi-selatan","A",2017,3,817,8888888.88888889,9328627.74920947,3506838.38274378,12297915442685,5578605.20094563,6527777.77777778,12106382.9787234,112.517580872011,Mar 2017
"1819","sulawesi-selatan","A",2017,4,938,8888888.88888889,9238231.5643169,3303236.14523346,10911369031176.8,4958148.64066194,6616319.44444444,11574468.0851064,112.517580872011,Apr 2017
"1820","sulawesi-selatan","A",2017,5,1157,8222222.22222222,8820019.26031321,3131712.90354065,9807625710203.01,4494444.44444444,6527777.77777778,11022222.2222222,104.07876230661,May 2017
"1821","sulawesi-selatan","A",2017,6,735,8333333.33333333,9045503.39340337,3023068.43352145,9138942753753.82,4597222.22222222,6777777.77777778,11375000,105.485232067511,Jun 2017
"1822","sulawesi-selatan","B",2016,1,939,6685185.18518519,6858208.33090092,2651451.0188546,7030192505385.12,3102055.35205535,5082010.58201058,8184065.93406593,100,Jan 2016
"1823","sulawesi-selatan","B",2016,2,1326,6016666.66666667,6525519.96722564,2589511.1656377,6705568076962.31,3095238.0952381,4761904.76190476,7857142.85714286,90,Feb 2016
